id_evento,id_orgao,sigla_orgao
65557,2001,CAPADR
65989,2001,CAPADR
70363,2001,CAPADR
972,2001,CAPADR
25259,2001,CAPADR
1933,2001,CAPADR
2659,2001,CAPADR
13146,2001,CAPADR
8530,2001,CAPADR
55229,2001,CAPADR
57061,2001,CAPADR
14990,2001,CAPADR
23879,2001,CAPADR
73215,2001,CAPADR
73739,2001,CAPADR
76366,2001,CAPADR
80474,2001,CAPADR
6684,2001,CAPADR
17265,2001,CAPADR
47119,2001,CAPADR
48610,2001,CAPADR
49311,2001,CAPADR
29719,2001,CAPADR
38502,2001,CAPADR
38467,2001,CAPADR
33664,2001,CAPADR
32949,2001,CAPADR
37643,2001,CAPADR
21456,2001,CAPADR
54320,2001,CAPADR
3768,2001,CAPADR
68367,2001,CAPADR
26785,2001,CAPADR
2129,2001,CAPADR
60860,2001,CAPADR
61833,2001,CAPADR
62574,2001,CAPADR
62767,2001,CAPADR
64116,2001,CAPADR
13754,2001,CAPADR
13826,2001,CAPADR
8708,2001,CAPADR
11406,2001,CAPADR
55750,2001,CAPADR
14700,2001,CAPADR
15198,2001,CAPADR
17062,2001,CAPADR
24785,2001,CAPADR
71972,2001,CAPADR
79902,2001,CAPADR
19326,2001,CAPADR
44236,2001,CAPADR
28434,2001,CAPADR
29820,2001,CAPADR
40430,2001,CAPADR
40479,2001,CAPADR
41086,2001,CAPADR
41873,2001,CAPADR
41996,2001,CAPADR
42475,2001,CAPADR
32102,2001,CAPADR
35352,2001,CAPADR
36472,2001,CAPADR
21968,2001,CAPADR
51288,2001,CAPADR
3624,2001,CAPADR
4768,2001,CAPADR
5935,2001,CAPADR
67684,2001,CAPADR
68377,2001,CAPADR
70301,2001,CAPADR
71480,2001,CAPADR
588,2001,CAPADR
25388,2001,CAPADR
1995,2001,CAPADR
61578,2001,CAPADR
63140,2001,CAPADR
63511,2001,CAPADR
10626,2001,CAPADR
11632,2001,CAPADR
12007,2001,CAPADR
55909,2001,CAPADR
57535,2001,CAPADR
14362,2001,CAPADR
23524,2001,CAPADR
23923,2001,CAPADR
72898,2001,CAPADR
73794,2001,CAPADR
74600,2001,CAPADR
74659,2001,CAPADR
72868,2001,CAPADR
77330,2001,CAPADR
79037,2001,CAPADR
80360,2001,CAPADR
8217,2001,CAPADR
17726,2001,CAPADR
18963,2001,CAPADR
